batsman,total_runs,outs,numberofballs,average,strikerate
PD Collingwood,203,4,156,50.75,130.13
SK Warne,198,19,213,10.42,92.96
SP Fleming,196,9,165,21.78,118.79
AS Raut,194,11,167,17.64,116.17
BJ Rohrer,193,7,141,27.57,136.88
Salman Butt,193,7,161,27.57,119.88
YV Takawale,192,8,178,24.00,107.87
Bipul Sharma,187,6,121,31.17,154.55
C Ingram,184,10,154,18.40,119.48
B Kumar,184,23,189,8.00,97.35
FY Fazal,183,9,172,20.33,106.40
JJ Roy,183,5,135,36.60,135.56
CR Brathwaite,182,14,110,13.00,165.45
AC Voges,181,6,142,30.17,127.46
AB Agarkar,179,8,152,22.38,117.76
C Munro,178,9,141,19.78,126.24
MF Maharoof,177,10,122,17.70,145.08
DH Yagnik,170,9,135,18.89,125.93
N Pooran,170,6,106,28.33,160.38
CM Gautam,169,9,148,18.78,114.19
MG Johnson,168,14,161,12.00,104.35
MN van Wyk,167,3,132,55.67,126.52
DW Steyn,166,22,157,7.55,105.73
PA Reddy,164,10,160,16.40,102.50
R Parag,161,4,126,40.25,127.78
MN Samuels,161,12,171,13.42,94.15
Ankit Sharma,160,10,108,16.00,148.15
RE van der Merwe,159,11,141,14.45,112.77
R McLaren,159,8,169,19.88,94.08
R Dhawan,153,7,135,21.86,113.33
A Hales,150,6,118,25.00,127.12
SM Pollock,147,8,111,18.38,132.43
S Vidyut,145,8,108,18.13,134.26
K Gowtham,145,12,83,12.08,174.70
Mohammad Nabi,142,8,91,17.75,156.04
N Saini,142,12,144,11.83,98.61
Sachin Baby,137,9,101,15.22,135.64
S Anirudha,136,8,110,17.00,123.64
SB Styris,131,7,133,18.71,98.50
W Jaffer,130,7,121,18.57,107.44
S Gopal,129,8,118,16.13,109.32
Kamran Akmal,128,4,78,32.00,164.10
D Wiese,127,5,90,25.40,141.11
P Dogra,127,12,138,10.58,92.03
UT Khawaja,127,5,100,25.40,127.00
M Morkel,126,11,90,11.45,140.00
MC Juneja,125,7,127,17.86,98.43
BB Samantray,125,5,113,25.00,110.62
B Lee,124,10,96,12.40,129.17
MM Sharma,123,14,117,8.79,105.13
AB McDonald,123,5,99,24.60,124.24
UT Yadav,122,12,124,10.17,98.39
Niraj Patel,121,5,118,24.20,102.54
DL Vettori,121,7,109,17.29,111.01
AC Blizzard,120,7,89,17.14,134.83
RJ Harris,117,12,111,9.75,105.41
Misbah-ul-Haq,117,9,81,13.00,144.44
Z Khan,117,15,138,7.80,84.78
D Short,116,7,99,16.57,117.17
KK Cooper,116,9,68,12.89,170.59
TG Southee,115,6,90,19.17,127.78
R Tewatia,115,7,89,16.43,129.21
M Kartik,113,7,108,16.14,104.63
DJ Harris,111,3,101,37.00,109.90
HV Patel,107,8,68,13.38,157.35
JDP Oram,106,8,108,13.25,98.15
LJ Wright,106,4,60,26.50,176.67
Rashid Khan,105,12,63,8.75,166.67
RJ Quiney,103,7,102,14.71,100.98
DS Kulkarni,101,9,106,11.22,95.28
MS Gony,99,9,70,11.00,141.43
SD Chitnis,99,7,89,14.14,111.24
MJ Clarke,98,5,94,19.60,104.26
CJ Ferguson,98,6,116,16.33,84.48
MA Starc,96,6,98,16.00,97.96
S Curran,95,4,55,23.75,172.73
AJ Tye,92,7,70,13.14,131.43
PR Shah,92,8,91,11.50,101.10
DJ Jacobs,92,7,97,13.14,94.85
S Rana,91,5,81,18.20,112.35
RT Ponting,91,8,127,11.38,71.65
AD Nath,90,10,98,9.00,91.84
S Hetmyer,90,5,73,18.00,123.29
MJ McClenaghan,88,11,70,8.00,125.71
Iqbal Abdulla,88,1,83,88.00,106.02
SL Malinga,88,12,99,7.33,88.89
AP Majumdar,87,4,76,21.75,114.47
J Archer,84,7,61,12.00,137.70
RE Levi,83,6,73,13.83,113.70
LA Carseldine,81,3,68,27.00,119.12
WPUJC Vaas,81,7,73,11.57,110.96
Shahid Afridi,81,8,46,10.13,176.09
AD Mascarenhas,79,10,78,7.90,101.28
PJ Cummins,77,6,55,12.83,140.00
S Rutherford,77,5,53,15.40,145.28
B Akhil,76,7,55,10.86,138.18
IR Jaggi,76,5,97,15.20,78.35
TR Birt,75,5,58,15.00,129.31
Washington Sundar,75,6,50,12.50,150.00
M Klinger,73,4,77,18.25,94.81
RR Sarwan,73,3,75,24.33,97.33
L Livingstone,71,3,47,23.67,151.06
DL Chahar,71,6,44,11.83,161.36
K Rabada,70,6,78,11.67,89.74
AA Bilakhia,69,5,85,13.80,81.18
H Klaasen,67,5,57,13.40,117.54
RR Powar,67,3,63,22.33,106.35
R Singh,66,6,65,11.00,101.54
R Sharma,66,11,75,6.00,88.00
Mohammad Hafeez,64,8,82,8.00,78.05
CR Woakes,63,5,66,12.60,95.45
WD Parnell,63,9,75,7.00,84.00
Anirudh Singh,63,4,66,15.75,95.45
A Flintoff,62,2,53,31.00,116.98
S Aravind,59,3,56,19.67,105.36
WA Mota,56,5,73,11.20,76.71
JD Unadkat,55,7,53,7.86,103.77
M Rawat,55,5,69,11.00,79.71
I Sharma,55,7,61,7.86,90.16
J Suchith,54,2,46,27.00,117.39
Mohammed Shami,54,9,52,6.00,103.85
A Chopra,53,5,71,10.60,74.65
RR Rossouw,53,6,51,8.83,103.92
RP Singh,52,15,72,3.47,72.22
NM Coulter-Nile,52,7,50,7.43,104.00
Shoaib Malik,52,4,47,13.00,110.64
KB Arun Karthik,51,5,50,10.20,102.00
R Rampaul,51,5,49,10.20,104.08
RV Gomez,50,7,50,7.14,100.00
SB Bangar,49,6,58,8.17,84.48
VR Aaron,49,3,62,16.33,79.03
AG Paunikar,49,5,57,9.80,85.96
Yashpal Singh,47,4,66,11.75,71.21
Kuldeep Yadav,45,4,54,11.25,83.33
Sunny Singh,43,4,31,10.75,138.71
AB Barath,42,2,42,21.00,100.00
SK Trivedi,42,8,59,5.25,71.19
JDS Neesham,42,3,46,14.00,91.30
A Nehra,41,8,59,5.13,69.49
LPC Silva,40,2,25,20.00,160.00
S Dube,40,4,33,10.00,121.21
BR Dunk,40,3,35,13.33,114.29
Umar Gul,39,3,19,13.00,205.26
AUK Pathan,39,5,23,7.80,169.57
DJ Thornely,39,3,52,13.00,75.00
MM Patel,39,5,41,7.80,95.12
SP Jackson,38,2,31,19.00,122.58
JO Holder,38,5,31,7.60,122.58
Anureet Singh,37,4,46,9.25,80.43
S Narwal,37,4,27,9.25,137.04
JJ Bumrah,37,3,38,12.33,97.37
Sohail Tanvir,36,3,29,12.00,124.14
L Balaji,36,7,47,5.14,76.60
KW Richardson,36,3,39,12.00,92.31
Joginder Sharma,36,4,30,9.00,120.00
AN Ahmed,36,1,26,36.00,138.46
SN Thakur,36,4,21,9.00,171.43
A Kumble,35,2,46,17.50,76.09
B Sumanth,35,1,37,35.00,94.59
S Sreesanth,34,3,52,11.33,65.38
AP Dole,34,2,22,17.00,154.55
A Mithun,34,5,25,6.80,136.00
L Ronchi,34,3,34,11.33,100.00
M Santner,33,1,23,33.00,143.48
D Salunkhe,33,1,24,33.00,137.50
Basil Thampi,32,2,33,16.00,96.97
RJ Peterson,32,3,29,10.67,110.34
Mohammed Siraj,32,3,36,10.67,88.89
S Nadeem,32,14,77,2.29,41.56
S Sriram,31,2,36,15.50,86.11
T Taibu,31,3,26,10.33,119.23
M Markande,30,3,29,10.00,103.45
J Syed Mohammad,29,2,26,14.50,111.54
VH Zol,29,2,26,14.50,111.54
SB Jakati,28,2,29,14.00,96.55
M Lomror,28,2,24,14.00,116.67
JM Kemp,26,2,24,13.00,108.33
NL McCullum,26,3,21,8.67,123.81
AB Dinda,26,9,47,2.89,55.32
Sandeep Sharma,26,3,38,8.67,68.42
A Choudhary,25,2,20,12.50,125.00
S Chanderpaul,25,3,31,8.33,80.65
KC Cariappa,24,3,21,8.00,114.29
MA Khote,24,2,20,12.00,120.00
ER Dwivedi,24,2,14,12.00,171.43
PJ Sangwan,24,7,39,3.43,61.54
BMAJ Mendis,23,3,27,7.67,85.19
T Curran,23,3,27,7.67,85.19
J Arunkumar,23,3,23,7.67,100.00
NS Naik,23,2,31,11.50,74.19
SW Tait,23,3,26,7.67,88.46
MS Wade,22,3,33,7.33,66.67
GB Hogg,22,2,22,11.00,100.00
YS Chahal,22,4,48,5.50,45.83
CA Ingram,21,2,26,10.50,80.77
DE Bollinger,21,1,22,21.00,95.45
RR Raje,20,1,18,20.00,111.11
M Muralitharan,20,6,29,3.33,68.97
K Paul,20,4,24,5.00,83.33
AC Thomas,20,2,19,10.00,105.26
H Brar,20,0,12,,166.67
Imran Tahir,20,4,27,5.00,74.07
NJ Maddinson,20,3,21,6.67,95.24
Harpreet Singh,20,2,26,10.00,76.92
R Shukla,19,2,23,9.50,82.61
DR Martyn,19,2,24,9.50,79.17
R Bishnoi,19,3,17,6.33,111.76
P Sahu,19,0,13,,146.15
A Mukund,19,2,22,9.50,86.36
Y Gnaneswara Rao,19,1,17,19.00,111.76
P R Barman,19,1,24,19.00,79.17
Vishnu Vinod,19,3,26,6.33,73.08
JJ van der Wath,18,2,16,9.00,112.50
Harmeet Singh,18,2,12,9.00,150.00
BJ Haddin,18,1,11,18.00,163.64
PV Tambe,18,1,39,18.00,46.15
DS Lehmann,18,2,18,9.00,100.00
Parvez Rasool,17,2,20,8.50,85.00
AS Rajpoot,17,3,30,5.67,56.67
PP Ojha,16,10,44,1.60,36.36
CK Kapugedera,16,3,23,5.33,69.57
S Singh,16,1,17,16.00,94.12
SA Abbott,15,1,13,15.00,115.38
C Madan,15,1,19,15.00,78.95
GR Napier,15,1,16,15.00,93.75
VY Mahesh,15,2,26,7.50,57.69
RD Chahar,15,2,13,7.50,115.38
A Joseph,15,0,13,,115.38
SD Lad,15,1,13,15.00,115.38
F Behardien,14,2,13,7.00,107.69
MDKJ Perera,14,2,13,7.00,107.69
S Badree,13,5,23,2.60,56.52
S Mavi,13,3,15,4.33,86.67
DT Patil,13,1,13,13.00,100.00
KJ Abbott,13,1,8,13.00,162.50
D Shorey,13,2,17,6.50,76.47
Swapnil Singh,12,3,20,4.00,60.00
T Thushara,12,2,18,6.00,66.67
TA Boult,12,2,14,6.00,85.71
DAJ Bracewell,12,0,9,,133.33
M Ur Rahman,12,2,11,6.00,109.09
AR Bawne,12,0,12,,100.00
AA Chavan,12,1,11,12.00,109.09
Karanveer Singh,12,1,17,12.00,70.59
K Upadhyay,12,0,9,,133.33
S Kaul,12,3,28,4.00,42.86
M Ntini,11,1,18,11.00,61.11
BB Sran,11,1,14,11.00,78.57
T Henderson,11,1,16,11.00,68.75
T Kohli,11,3,19,3.67,57.89
DNT Zoysa,11,1,9,11.00,122.22
X Thalaivan Sargunam,10,1,17,10.00,58.82
J Theron,10,2,12,5.00,83.33
AG Murtaza,10,1,14,10.00,71.43
TD Paine,10,2,26,5.00,38.46
KAJ Roach,10,1,9,10.00,111.11
SMSM Senanayake,10,1,17,10.00,58.82
D du Preez,10,1,13,10.00,76.92
AA Noffke,9,1,10,9.00,90.00
SM Harwood,9,0,13,,69.23
Jaskaran Singh,8,2,11,4.00,72.73
CJ McKay,8,1,15,8.00,53.33
J Searles,8,1,6,8.00,133.33
TS Mills,8,3,11,2.67,72.73
P Chopra,8,1,6,8.00,133.33
TM Srivastava,8,1,11,8.00,72.73
CK Langeveldt,8,2,9,4.00,88.89
UA Birla,7,1,14,7.00,50.00
VS Malik,7,1,7,7.00,100.00
Pankaj Singh,7,2,12,3.50,58.33
AF Milne,7,3,12,2.33,58.33
N Naik,7,1,16,7.00,43.75
AN Ghosh,7,2,8,3.50,87.50
Ankit Soni,7,2,8,3.50,87.50
I Malhotra,7,0,4,,175.00
R Bhui,7,2,17,3.50,41.18
I Sodhi,7,2,17,3.50,41.18
DM Bravo,6,0,5,,120.00
SS Shaikh,6,0,7,,85.71
SB Joshi,6,2,14,3.00,42.86
J Yadav,6,0,10,,60.00
BA Bhatt,6,0,7,,85.71
S Sharma,6,0,3,,200.00
PSP Handscomb,6,1,12,6.00,50.00
B Stanlake,5,0,2,,250.00
A Zampa,5,2,8,2.50,62.50
R Salam,5,0,4,,125.00
Shivam Sharma,5,1,3,5.00,166.67
SJ Srivastava,5,1,5,5.00,100.00
P Awana,5,3,14,1.67,35.71
KMDN Kulasekara,5,0,2,,250.00
B Laughlin,5,2,13,2.50,38.46
DP Nannes,4,1,13,4.00,30.77
A Uniyal,4,1,7,4.00,57.14
FH Edwards,4,1,5,4.00,80.00
A Chandila,4,1,7,4.00,57.14
A Dananjaya,4,0,5,,80.00
CRD Fernando,4,1,3,4.00,133.33
GD McGrath,4,1,5,4.00,80.00
M Ashwin,4,3,8,1.33,50.00
H Vihari,4,2,8,2.00,50.00
Avesh Khan,4,0,3,,133.33
RS Sodhi,4,0,2,,200.00
VRV Singh,4,1,2,4.00,200.00
CJ Jordan,3,1,5,3.00,60.00
S Tyagi,3,0,4,,75.00
A Turner,3,3,10,1.00,30.00
R Ninan,3,1,6,3.00,50.00
D Kalyankrishna,3,1,7,3.00,42.86
JE Taylor,3,0,3,,100.00
H Viljoen,3,2,5,1.50,60.00
BAW Mendis,3,2,6,1.50,50.00
Mohammad Asif,3,2,6,1.50,50.00
Kamran Khan,3,1,5,3.00,60.00
Younis Khan,3,1,7,3.00,42.86
KP Appanna,2,1,3,2.00,66.67
RS Gavaskar,2,1,8,2.00,25.00
SB Wagh,2,2,3,1.00,66.67
Mohammad Ashraful,2,1,10,2.00,20.00
Mashrafe Mortaza,2,0,2,,100.00
S Randiv,2,1,4,2.00,50.00
Shoaib Akhtar,2,1,7,2.00,28.57
RG More,2,0,2,,100.00
A Singh,2,4,10,0.50,20.00
VS Yeligati,2,1,2,2.00,100.00
H Das,2,1,5,2.00,40.00
SE Bond,1,1,2,1.00,50.00
PM Sarvesh Kumar,1,0,2,,50.00
Shoaib Ahmed,1,2,6,0.50,16.67
Mustafizur Rahman,1,1,3,1.00,33.33
LH Ferguson,1,0,1,,100.00
H Gurney,1,0,5,,20.00
L Plunkett,1,1,3,1.00,33.33
BE Hendricks,1,1,3,1.00,33.33
P Parameswaran,1,0,2,,50.00
DP Vijaykumar,1,0,1,,100.00
DJ Muthuswami,1,1,3,1.00,33.33
M Wood,1,1,3,1.00,33.33
NJ Rimmington,1,0,1,,100.00
P Krishna,1,1,7,1.00,14.29
M de Lange,1,1,2,1.00,50.00
K Ahmed,0,1,1,0.00,0.00
C Nanda,0,1,1,0.00,0.00
YA Abdulla,0,0,1,,0.00
U Kaul,0,0,1,,0.00
P Raj,0,0,1,,0.00
S Lamichhane,0,1,1,0.00,0.00
RR Bhatkal,0,2,2,0.00,0.00
IC Pandey,0,1,2,0.00,0.00
L Ablish,0,0,2,,0.00
Abdur Razzak,0,0,2,,0.00
Sunny Gupta,0,1,1,0.00,0.00
ND Doshi,0,1,13,0.00,0.00
J Denly,0,1,1,0.00,0.00
S Ladda,0,2,9,0.00,0.00
V Pratap Singh,0,1,1,0.00,0.00
S Kaushik,0,1,1,0.00,0.00
